Index,Country,Happiness Score,Beer Consumption,Beer Price
0,Denmark,7.64,67.8,7.37
1,Iceland,7.56,66.0,10.41
2,Sweden,7.38,49.4,6.92
3,Israel,7.36,27.0,8.08
4,Netherlands,7.42,47.9,6.0
5,Norway,7.37,64.8,9.67
6,Luxembourg,7.4,76.5,5.0
7,Switzerland,7.51,53.4,7.34
8,Australia,7.16,88.0,5.86
9,New Zealand,7.2,63.5,5.87
10,Costa Rica,6.58,34.1,2.78
11,Kuwait,6.11,0.05,2.7
12,Austria,7.16,106.0,4.9
13,Canada,7.03,57.0,5.2
14,Belgium,6.8,84.3,4.5
15,Ireland,7.04,80.0,6.0
16,Czech Republic,6.92,140.0,2.01
17,Lithuania,6.45,107.0,4.8
18,United Kingdom,6.94,61.2,5.98
19,Slovenia,6.63,83.2,3.0
20,United Arab Emirates,6.58,5.64,10.09
22,Germany,7.03,95.2,4.5
23,Mexico,6.13,79.0,2.07
24,Uruguay,6.47,43.8,3.32
25,France,6.69,40.0,6.0
26,Saudi Arabia,6.52,,1.73
28,Taiwan,6.51,31.7,1.68
29,Romania,6.48,81.4,2.41
30,El Salvador,6.12,22.3,1.85
31,Estonia,6.34,69.3,5.0
32,Poland,6.12,87.8,3.36
33,Spain,6.48,88.0,3.0
35,Chile,6.17,69.1,3.02
36,Panama,6.31,77.7,1.85
37,Malta,6.45,42.8,3.5
38,Italy,6.47,36.6,5.0
39,Guatemala,6.26,19.2,3.0
40,Nicaragua,6.17,12.9,1.26
41,Brazil,6.29,64.8,1.62
42,Slovakia,6.39,73.4,2.0
43,Latvia,6.18,77.4,4.5
44,Uzbekistan,6.06,11.4,1.07
45,Argentina,5.97,42.2,2.32
46,Kazakhstan,6.23,35.1,1.1
47,Cyprus,6.22,31.0,3.5
48,Japan,6.04,12.4,3.09
49,South Korea,5.93,32.7,3.16
50,Philippines,5.9,14.1,1.2
51,Vietnam,5.49,38.8,0.9
52,Portugal,6.02,61.4,2.5
53,Hungary,6.09,69.0,2.0
54,Paraguay,5.58,70.5,1.16
55,Thailand,5.89,29.8,1.91
56,Malaysia,5.71,4.91,3.14
57,China,5.58,23.9,0.89
58,Honduras,6.02,28.3,
60,Croatia,6.13,84.2,3.5
61,Greece,5.95,34.1,5.0
62,Bosnia and Herzegovina,5.77,71.9,
63,Libya,5.33,0.01,0.57
64,Jamaica,5.85,6.55,2.36
65,Peru,5.56,44.7,2.03
66,Dominican Republic,5.74,57.5,2.19
68,Moldova,5.86,37.6,1.54
69,Russia,5.46,57.7,1.65
70,Bolivia,5.6,31.6,1.61
71,Ecuador,5.55,39.4,1.85
72,Montenegro,5.55,72.1,2.5
73,Mongolia,5.76,38.5,1.64
74,Colombia,5.78,49.5,1.12
75,Venezuela,4.92,16.7,1.39
76,Indonesia,5.24,1.17,2.23
77,Bulgaria,5.37,76.9,2.04
78,Armenia,5.4,11.7,1.65
79,South Africa,5.19,55.3,2.03
81,Algeria,5.12,3.87,1.35
83,Albania,5.2,36.8,2.53
84,Tajikistan,5.38,3.78,0.89
85,Republic of the Congo,5.08,55.9,
86,Mozambique,5.05,11.9,1.01
87,Georgia,4.97,30.8,1.59
88,Iraq,4.94,2.08,1.85
89,Nepal,5.38,6.17,2.16
90,Laos,5.14,7.36,
91,Gabon,4.96,78.3,
92,Ivory Coast,5.24,11.9,0.91
93,Guinea,4.89,2.46,
94,Turkey,4.74,10.4,2.92
95,Senegal,5.05,1.84,
96,Iran,4.89,1.02,0.63
97,Azerbaijan,5.17,4.94,1.36
98,Nigeria,4.55,8.3,0.81
100,Cameroon,5.05,0.06,0.99
101,Ukraine,5.08,31.2,0.91
102,Namibia,4.46,34.7,1.27
103,Morocco,5.06,2.71,2.9
104,Pakistan,4.52,0.03,1.65
105,Niger,5,0.29,
106,Burkina Faso,4.67,10.8,
107,Mauritania,4.15,,
108,Gambia,5.16,0.16,
109,Chad,4.25,4.78,
110,Kenya,4.54,7.69,2.15
111,Tunisia,4.52,16.3,1.49
112,Benin,4.62,10.4,
113,Uganda,4.6,7.3,1.26
114,Myanmar,4.39,2.68,
115,Cambodia,4.64,78.1,
116,Ghana,4.87,9.51,1.2
117,Liberia,5.12,3.53,
118,Mali,4.48,1.07,
119,Madagascar,4.34,4.91,
120,Togo,4.11,10.2,
121,Jordan,4.15,1.31,5.23
122,India,3.78,1.78,1.84
123,Egypt,4.29,0.79,1.28
124,Sri Lanka,4.36,5.36,2.18
125,Bangladesh,5.16,,3.8
126,Ethiopia,4.24,12.2,0.93
129,Yemen,4.2,,
130,Zambia,3.76,13.6,
132,Malawi,3.75,5.26,
133,Botswana,3.47,150.0,2.03
134,Zimbabwe,3,13.6,1.39
136,Sierra Leone,3.57,2.17,
137,Lesotho,3.51,30.3,
138,Lebanon,2.96,7.08,2.78
139,Afghanistan,2.4,,
140,Rwanda,,16.5,
141,Belarus,,49.6,1.13
142,Turkmenistan,,0.25,
143,Kyrgyzstan,,6.56,1.07
144,Angola,,33.4,
145,Finland,,68.4,7.0
146,Burundi,,18.2,
147,Cuba,,12.9,1.85
148,Papua New Guinea,,6.84,2.69
149,Trinidad and Tobago,,34.3,
150,Guyana,,45.1,1.98
151,Central African Republic,,5.93,
152,Bhutan,,32.6,
153,Haiti,,2.07,
154,Suriname,,36.4,
155,Belize,,56.3,
156,South Sudan,,1.85,
157,Guinea Bissau,,8.95,
158,Oman,,3.87,10.83
159,Qatar,,6.3,
160,Fiji,,15.7,2.52
162,New Caledonia,,43.9,
169,Solomon Islands,,8.97,
170,Syria,,0.21,1.39
172,Sudan,,0.07,
180,Djibouti,,1.29,
184,Somalia,,0.01,
185,Vanuatu,,0.89,
190,Puerto Rico,,,2.32
191,United States of America,6.98,70.2,5.56
